Year,Tuition/Fees,2020_1$_EQV,Inf_Adj
1999,22228,1.553487395,34530.92
2000,23094,1.502967481,34709.53
2001,23995,1.462209041,35085.71
2002,24930,1.438638134,35865.25
2003,25902,1.406581522,36433.65
2004,27171,1.37009529,37227.52
2005,28667,1.325197132,37989.43
2006,30194,1.283784723,38762.6
2007,31794,1.248232388,39686.3
2008,33479,1.202078002,40244.37
2009,35124,1.206369998,42372.54
2010,36683,1.186901529,43539.11
2011,38886,1.150583047,44741.57
2012,40809,1.127255068,46002.15
2013,42849,1.110981854,47604.46
2014,45377,1.093247331,49608.28
2015,46966,1.091951211,51284.58
2016,48376,1.078347714,52166.15
2017,49949,1.055854275,52738.87
2018,51447,1.030680148,53025.4
2019,52524,1.012336842,53171.98
2020,55000,1,55000